	11	36	49	4	8	9	33	32	2	16	20	5	17	37	19	13	45	15	53	23	29	0	1	24	12	41	3	6	7	21	25	28
Acholeplasma_laidlawii_PG_8A.1002	48.0	35	14.0	46.0	81.0	45.0	42.0	103.0	85.0	42	41.0	27.0	27.0	22	22.0	20.0	17.0	15.0	10.0	3.0	9.0	118.0	49	50.0	54.0	45.0	55.0	52.0	7.0	11.0	14.0	7.0
Acholeplasma_laidlawii_PG_8A.1005	39.0	34	6.0	17.0	65.0	38.0	32.0	66.0	53.0	32	20.0	20.0	9.0	9	17.0	12.0	26.0	15.0	9.0	3.0	3.0	66.0	33	33.0	28.0	27.0	38.0	38.0	5.0	5.0	5.0	5.0
Acholeplasma_laidlawii_PG_8A.1059	33.0	32	7.0	25.0	48.0	35.0	23.0	41.0	49.0	34	28.0	23.0	18.0	15	13.0	15.0	13.0	16.0	8.0	2.0	4.0	81.0	27	38.0	34.0	29.0	28.0	25.0	2.0	10.0	11.0	2.0
Acholeplasma_laidlawii_PG_8A.1081	10.0	12	2.0	8.0	19.0	8.0	14.0	32.0	32.0	13	10.0	8.0	8.0	7	2.0	6.0	3.0	6.0	2.0	1.0	3.0	37.0	13	19.0	11.0	16.0	16.0	17.0	4.0	1.0	3.0	
Acholeplasma_laidlawii_PG_8A.1088	36.0	33	9.0	19.0	55.0	33.0	23.0	43.0	47.0	25	15.0	16.0	11.0	6	11.0	10.0	16.0	8.0	1.0		5.0	50.0	12	11.0	16.0	17.0	25.0	16.0	4.0	3.0	3.0	7.0
Acholeplasma_laidlawii_PG_8A.1091	72.0	79	18.0	57.0	109.0	80.0	75.0	155.0	120.0	64	27.0	26.0	33.0	25	31.0	38.0	37.0	24.0	4.0	4.0	9.0	193.0	66	57.0	82.0	80.0	112.0	78.0	31.0	6.0	22.0	14.0
Acholeplasma_laidlawii_PG_8A.109	48.0	40	16.0	35.0	45.0	33.0	38.0	47.0	47.0	39	27.0	28.0	21.0	22	8.0	12.0	14.0	26.0	5.0	2.0	9.0	69.0	30	32.0	24.0	29.0	38.0	28.0	14.0	1.0	12.0	5.0
Acholeplasma_laidlawii_PG_8A.115	36.0	40	11.0	35.0	61.0	35.0	38.0	59.0	41.0	36	15.0	22.0	24.0	9	9.0	16.0	15.0	17.0	5.0	4.0	6.0	75.0	30	32.0	29.0	27.0	51.0	41.0	5.0	5.0	11.0	7.0
Acholeplasma_laidlawii_PG_8A.1174	40.0	41	12.0	40.0	42.0	46.0	46.0	90.0	93.0	53	31.0	37.0	27.0	15	34.0	37.0	42.0	25.0	10.0	6.0	11.0	98.0	40	48.0	55.0	46.0	55.0	35.0	13.0	7.0	15.0	8.0
Acholeplasma_laidlawii_PG_8A.1179	22.0	21	8.0	18.0	21.0	20.0	10.0	36.0	30.0	21	10.0	8.0	10.0	14	8.0	7.0	12.0	12.0	3.0	3.0	2.0	39.0	17	7.0	11.0	15.0	25.0	16.0	3.0	6.0	6.0	4.0
Acholeplasma_laidlawii_PG_8A.1214	30.0	23	18.0	28.0	81.0	29.0	34.0	76.0	65.0	39	29.0	25.0	15.0	21	19.0	19.0	23.0	22.0	9.0	4.0	7.0	88.0	30	39.0	36.0	28.0	47.0	38.0	6.0	12.0	10.0	5.0
Acholeplasma_laidlawii_PG_8A.1220	7.0	7	4.0	6.0	13.0	10.0	2.0	18.0	10.0	9	3.0	4.0	2.0	3	4.0	3.0	6.0	5.0	1.0			35.0	8	5.0	8.0	4.0	11.0	5.0	1.0	3.0	1.0	1.0
Acholeplasma_laidlawii_PG_8A.1238	61.0	69	20.0	49.0	120.0	75.0	47.0	133.0	151.0	67	35.0	38.0	30.0	29	25.0	25.0	30.0	31.0	5.0	6.0	6.0	141.0	61	68.0	74.0	79.0	67.0	58.0	13.0	5.0	29.0	31.0
Acholeplasma_laidlawii_PG_8A.1344	20.0	21	8.0	20.0	41.0	24.0	26.0	39.0	34.0	23	14.0	16.0	10.0	7	14.0	2.0	12.0	5.0	2.0	6.0	2.0	36.0	24	18.0	26.0	19.0	23.0	27.0	5.0	5.0	6.0	3.0
