	176	676	681	0	2	9	36	146	300	301	182	308	845	211	52	13	3	512	384	96	536	227	97	24	235	833	208	424	128	649	200	155	621	436	692	98	392	545	134	385	516	19	77	685	171	8	32	130	296	45	729	717	179	181	244	573	143	291	556	292	329	82	276	69	529	644	673	513	5	23	94	287	492	145	548	393	224	161	47	191	596	661	165	553	34	136	544	129	232	27	108	432	420	105	57	231	625	453	249	91	364	164	297	189	468	629	157	295	73	184	132	33	64	697	452	156	581	913	228	569	280	237	209	437	724	849	324	187	75	303	677	169	144	172	43	10	168	608	560	195	617	50	137	139	328	693	260	76	201	805	150	60	360	131	520	528	256	11	173	61	417	645	248	62	15	66	272	749	949	72	18	192	40	160	640	524	38	44	609	388	67	107	198	49	12	813	701	320	689	708	185	147	588	304	193	233	26	104	537	102	51	56	429	525	288	612	817	196	441	219	216	141	188	148	293	585	705	25	100	265	656	745	16	65	400	289	391	540	112	448	175	212	565	35	39	624	449	163	641	387	48	321	592	549	653	472	221	885	247	317	79	275	81	20	773	576	561	199	633	312	408	207	89	251	484	114	46	177	564	777	660	801	440	264	356	601	166	41	267	404	101	769	7	31	504	901	737	268	669	628	465	352	88	657	99	428	225	111	83	532	897	521	80	336	416	6	332	307	204	785	70	277	84	500	861	223	152	140	917	741	829	214	821	557	180	309	215	637	371	461	109	281	243	316	37	151	124	1	4	17	68	236	577	361	257	284	327	133	580	589	203	480	376	125	471	117	285	153	149	508	348	159	456	389	493	721	78	59	239	593	92	368	425	333	444	433	869	22	95	351	87	533	261	865	423	412	103	933	240	120	30	263	93	375	119	541	135	259	665	325	373	605	407	357	505	965	753	489	197	713	313	323	421	167	116	273	14	613	335	793	283	403	409	488	517	469	253	63	54	396	781	337	572	123	344	252	55	305	353	21	86	401	71	28	241	365	413	761	481	183	113	279	53	355	837	597	340	220	319	213	205	271	229	709	339	29	341	464	457	311	733	269	881	757	445	345	121	797	85	405	372	127	789	397	765	981	501	369	496	255	118	217	853	377	476	380	497	359	245	381	455	725	485	460	509	604	473	115	343	349	439	477
Acholeplasma_laidlawii_PG_8A.1010	9.0	10.0	11.0	12.0	21.0	13.0	12.0	8.0	6.0	2.0	8.0	7.0	4.0	3.0	5.0	4.0	6.0	11.0	9.0	11.0	7.0	6.0	5.0	8.0	5.0	3.0	8.0	7.0	17.0	7.0	7.0	7.0	3.0	5.0	2.0	6.0	8.0	9.0	4.0	4.0	6.0	5.0	3.0	3.0	17.0	18.0	14.0	13.0	6.0	8.0	5.0	4.0	4.0	4.0	4.0	2.0	2.0	3.0	8.0	7.0	6.0	4.0	5.0	1.0	1.0	5.0	11.0	6.0	4.0	1.0	2.0	1.0	2.0	6.0	8.0	2.0	8.0	6.0	4.0	4.0	5.0	4.0	2.0	5.0	24.0	10.0	11.0	3.0	6.0	2.0	2.0	3.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	2.0	3.0	10.0	2.0	4.0	2.0	1.0	1.0	6.0	6.0	7.0	8.0	3.0	13.0	2.0	1.0	6.0	6.0	3.0	3.0	4.0	5.0	2.0	2.0	1.0	6.0	2.0	2.0	3.0	3.0	3.0	3.0	9.0	9.0	10.0	9.0	25.0	18.0	9.0	7.0	3.0	1.0	7.0	10.0	10.0	7.0	5.0	6.0	6.0	4.0	4.0	4.0	3.0	4.0	7.0	12.0	9.0	7.0	9.0	6.0	2.0	2.0	7.0	5.0	4.0	4.0	4.0	4.0	3.0	1.0	5.0	5.0	7.0	13.0	9.0	5.0	5.0	8.0	3.0	8.0	5.0	4.0	8.0	2.0	1.0	8.0	4.0	3.0	4.0	2.0	4.0	4.0	4.0	2.0	5.0	4.0	7.0	5.0	5.0	4.0	3.0	4.0	6.0	3.0	1.0	8.0	2.0	3.0	2.0	1.0	1.0	1.0	5.0	8.0	10.0	3.0	5.0	6.0	5.0	3.0	5.0	10.0	3.0	8.0	2.0	6.0	2.0	2.0	1.0	2.0	4.0	5.0	1.0	1.0	2.0	2.0	2.0	1.0	8.0	3.0	3.0	6.0	4.0	7.0	5.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	2.0	4.0	3.0	2.0	8.0	1.0	1.0	2.0	5.0	2.0	2.0	2.0	2.0	1.0	3.0	5.0	2.0	4.0	3.0	1.0	4.0	5.0	8.0	1.0	1.0	5.0	7.0	3.0	5.0	4.0	2.0	2.0	2.0	4.0	2.0	4.0	4.0	1.0	1.0	1.0	3.0	3.0	5.0	2.0	5.0	4.0	1.0	4.0	5.0	2.0	5.0	1.0	2.0	3.0	2.0	3.0	2.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	9.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	4.0	1.0	1.0	2.0	5.0	2.0	1.0	3.0	4.0	1.0	3.0	2.0	1.0	5.0	3.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0	1.0	1.0	1.0																																																																																																									
Acholeplasma_laidlawii_PG_8A.1031	3.0	1.0			1.0		1.0	1.0						1.0	1.0		1.0			1.0								2.0	1.0	1.0	3.0					1.0	3.0		1.0	1.0		1.0			1.0	3.0	1.0										1.0	1.0	2.0	2.0	2.0		1.0	2.0										2.0	1.0	1.0	1.0	1.0				1.0		3.0	3.0	1.0			1.0	1.0	1.0			2.0					1.0	1.0		4.0									1.0	3.0									2.0	1.0						1.0				1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	3.0			2.0	1.0		1.0					1.0	1.0	2.0											1.0	1.0	2.0					2.0		1.0		2.0	1.0		1.0	1.0	1.0	2.0			2.0			1.0	1.0		1.0	1.0	2.0	2.0					2.0		1.0									2.0	2.0		1.0	1.0			1.0	3.0			1.0				1.0			1.0				1.0					1.0	1.0	1.0	2.0	1.0							1.0					1.0	1.0							1.0		1.0				2.0	1.0	3.0	1.0				1.0	1.0										1.0			1.0		1.0			1.0				2.0			3.0											1.0			4.0	3.0		1.0								1.0			1.0									1.0		1.0						1.0	1.0		1.0									1.0	1.0	1.0	1.0	1.0								1.0																1.0		1.0	1.0					1.0	3.0										1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																																															
Acholeplasma_laidlawii_PG_8A.1050	9.0	6.0	6.0	12.0	15.0	2.0	6.0	8.0	9.0		3.0		1.0		2.0	1.0	9.0	12.0	2.0		1.0	1.0	1.0	2.0	5.0	2.0	3.0	6.0	7.0	6.0	5.0			1.0	4.0	2.0	2.0	3.0	3.0	2.0	1.0	2.0		4.0	7.0	13.0	9.0	8.0	4.0	1.0	1.0	1.0	2.0		1.0			2.0	1.0	6.0	3.0	2.0		1.0	1.0	4.0	8.0	4.0	2.0		1.0			4.0	9.0	3.0	5.0	7.0	2.0	2.0			2.0	7.0	13.0	8.0	3.0	1.0	2.0	3.0	4.0	4.0	2.0	2.0						2.0	1.0	7.0	2.0		1.0	2.0			1.0	4.0	2.0	7.0	3.0	3.0		1.0	1.0		3.0	2.0					1.0		1.0	2.0	2.0	3.0	4.0	9.0	8.0	9.0	10.0	20.0	7.0	1.0	3.0	5.0	6.0	4.0	5.0	4.0	4.0	2.0	4.0	1.0	2.0	1.0		2.0	3.0	4.0	8.0	3.0	8.0	3.0	1.0		2.0	5.0	3.0	2.0	2.0	7.0	3.0	1.0		4.0	3.0	5.0	9.0	9.0	12.0	2.0	3.0	6.0	1.0	1.0	3.0	3.0		4.0	12.0	1.0	3.0	2.0	4.0	4.0	1.0	2.0	1.0	1.0	3.0	7.0	5.0	3.0	4.0	5.0	4.0	4.0	2.0	2.0	2.0	2.0		4.0	2.0	2.0	1.0	2.0	8.0	2.0	1.0	4.0	4.0	6.0	4.0	1.0	5.0	4.0	8.0	4.0	5.0	2.0		2.0	2.0	2.0	3.0	1.0		5.0	1.0	3.0	1.0	1.0	3.0		12.0	2.0	1.0		2.0					1.0	2.0			2.0		10.0				1.0	1.0		1.0	1.0			3.0	2.0	3.0	4.0	7.0			6.0	1.0	1.0	5.0	5.0	3.0	3.0	2.0	2.0	1.0	2.0	1.0		1.0	4.0	2.0			2.0		1.0	2.0	2.0	1.0	1.0	2.0	4.0		4.0	2.0	1.0	4.0	2.0			1.0	2.0		1.0	4.0			1.0	7.0	7.0					1.0	1.0		1.0	1.0						2.0	2.0	1.0			2.0	4.0		2.0	3.0	1.0		1.0		1.0	6.0	1.0	2.0	2.0	3.0		1.0				1.0	1.0							1.0	1.0	2.0	1.0	2.0					1.0	1.0	1.0	1.0				3.0						3.0	4.0	2.0	1.0		1.0				1.0	3.0	2.0					1.0	1.0				1.0	1.0			2.0	4.0			3.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																										
Acholeplasma_laidlawii_PG_8A.1080	4.0	5.0	2.0	4.0	5.0	6.0	6.0	6.0	1.0	1.0		2.0	2.0			2.0	1.0	8.0	2.0	4.0	3.0	1.0	2.0	5.0	1.0	4.0	2.0	5.0	9.0	6.0	5.0	2.0		4.0	8.0	3.0	1.0	4.0	3.0	1.0	7.0	2.0			1.0	3.0	6.0	4.0	4.0	1.0			1.0		1.0	2.0	2.0	3.0	3.0	1.0		3.0	4.0	4.0	3.0	3.0	1.0	4.0	3.0	1.0	2.0			2.0	4.0	3.0	3.0	3.0	2.0				1.0	1.0	3.0	2.0	3.0	3.0	5.0	2.0	2.0	1.0		1.0	1.0				1.0	3.0		2.0	1.0	1.0			1.0	1.0	1.0	4.0	2.0	3.0	1.0		1.0		2.0		1.0		1.0	1.0	1.0	2.0	1.0			1.0	1.0	1.0		2.0	3.0	2.0	5.0	2.0	6.0			1.0	1.0	4.0	1.0	2.0	2.0		2.0	1.0	1.0		3.0	2.0	1.0		6.0	5.0		3.0	6.0				4.0	1.0	2.0	4.0	1.0			3.0	2.0	1.0	5.0	7.0	11.0	1.0	2.0	5.0	2.0	6.0	1.0			1.0	4.0	2.0		2.0		1.0		1.0	1.0				1.0	2.0	1.0	1.0	2.0	1.0			2.0	1.0			1.0			1.0	1.0	1.0	2.0	2.0		1.0	1.0	5.0	1.0		3.0	3.0		1.0	1.0	2.0	1.0	1.0	3.0			1.0	3.0			2.0	8.0	2.0	2.0		2.0	2.0					1.0		2.0	1.0	3.0	3.0						3.0	2.0	2.0	1.0	5.0		2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0					2.0			2.0	1.0	2.0	2.0	2.0	2.0	3.0		1.0	1.0	3.0	6.0	1.0		2.0	1.0				2.0	1.0	2.0	1.0	2.0	3.0			1.0	1.0	1.0						2.0	2.0			1.0	1.0	1.0		3.0						2.0	1.0			2.0	1.0	1.0	4.0	3.0	5.0	3.0	1.0		1.0			1.0	3.0	1.0		1.0		1.0				1.0	1.0	1.0			2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0		2.0		1.0			1.0		1.0					2.0				1.0		2.0	1.0		2.0	1.0				2.0	2.0		1.0	1.0				1.0	2.0	1.0		1.0	1.0			2.0		1.0	1.0	1.0				1.0		1.0	1.0	1.0		1.0	1.0					4.0	3.0			1.0		5.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0																																																			
Acholeplasma_laidlawii_PG_8A.108	3.0	4.0	3.0	13.0	8.0	4.0	4.0	7.0	2.0						1.0	3.0	7.0	10.0	8.0	4.0	1.0	3.0	2.0	5.0	3.0	1.0	1.0	9.0	4.0	5.0	5.0	2.0			4.0	1.0	1.0	1.0		3.0	6.0	2.0		2.0	1.0	6.0	5.0	8.0	3.0	1.0					1.0	1.0		1.0	2.0	4.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	1.0	3.0					1.0	4.0		2.0	4.0	3.0	1.0			1.0		5.0	5.0	1.0	2.0	3.0	2.0		4.0	3.0	5.0	2.0	1.0			1.0				1.0	2.0			2.0	1.0	2.0	1.0	3.0	4.0	5.0	2.0		1.0		1.0	2.0		1.0				1.0	1.0	1.0	1.0	1.0	1.0		1.0	4.0	3.0	5.0	8.0	9.0	6.0	4.0	4.0	2.0	6.0	3.0	5.0	1.0	2.0	5.0	1.0	1.0	1.0		1.0			4.0	4.0	7.0	1.0	3.0	1.0		2.0	5.0	5.0	4.0	7.0				4.0	4.0	3.0	8.0	5.0	14.0	3.0	5.0	2.0	2.0	1.0	1.0	1.0			8.0		1.0	2.0	2.0	1.0	2.0		2.0	2.0	3.0	3.0	4.0	4.0		2.0	4.0	5.0	2.0	1.0	3.0		1.0	2.0		2.0	2.0	1.0	2.0	3.0	1.0	5.0	3.0	2.0		4.0	3.0	2.0	10.0	3.0	1.0	2.0		2.0	1.0		3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	6.0	1.0	5.0	3.0	2.0		1.0		1.0					1.0	1.0	4.0	1.0	3.0						1.0	1.0	2.0	1.0	2.0	1.0	1.0			2.0	2.0	1.0	5.0	1.0		1.0	1.0	2.0			2.0				1.0		2.0	1.0	2.0	1.0	3.0	2.0			1.0	1.0	1.0	1.0	3.0	1.0	4.0	5.0	1.0	7.0	4.0	3.0	1.0	2.0	1.0			4.0				5.0	1.0	1.0	2.0		1.0		4.0	4.0	1.0									2.0			5.0	4.0	1.0		1.0	2.0	2.0	3.0			5.0	1.0	3.0	3.0	1.0						1.0	1.0				1.0	3.0			3.0	2.0	2.0	1.0			1.0	1.0	1.0	1.0						3.0		1.0	2.0							1.0			2.0		1.0	1.0		1.0							1.0	1.0			2.0	1.0	1.0				3.0							1.0	2.0				2.0		1.0	1.0		1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0		1.0	1.0	1.0					1.0			1.0		1.0	1.0	1.0	2.0				1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0																																			
Acholeplasma_laidlawii_PG_8A.1096	6.0	6.0	10.0	17.0	10.0	5.0	1.0	5.0	1.0			2.0	1.0	3.0	1.0	2.0	6.0	9.0	4.0	2.0	3.0	1.0	1.0	4.0	1.0		3.0	3.0	4.0	5.0	4.0	3.0	2.0	1.0	2.0	5.0	7.0		3.0	1.0	2.0	3.0		3.0	5.0	9.0	3.0	6.0	4.0	3.0			1.0			1.0	1.0		4.0	3.0	3.0	2.0	1.0			1.0	2.0	3.0	2.0	2.0	2.0	1.0			6.0	3.0	1.0		4.0	3.0	1.0		1.0	2.0	8.0	9.0	2.0	2.0	5.0	1.0		2.0	3.0	3.0	1.0					1.0		3.0	1.0	1.0					3.0	2.0	2.0	7.0	1.0	1.0		2.0			2.0	1.0	1.0				1.0		3.0	2.0	3.0	2.0	5.0	6.0	5.0	6.0	5.0	9.0	9.0	4.0	2.0	4.0	5.0	5.0	4.0	3.0	4.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0		1.0	3.0	3.0	3.0	7.0	3.0	1.0	2.0	4.0	4.0	1.0	2.0	3.0	2.0			1.0	5.0	7.0	9.0	5.0	14.0	1.0	3.0	5.0	1.0		2.0	2.0	2.0	2.0	6.0	2.0		4.0	1.0			1.0	3.0	3.0	1.0	3.0	5.0	4.0		2.0	4.0	4.0	1.0	1.0	4.0	3.0					1.0	2.0	7.0	5.0	2.0	1.0	4.0	3.0		1.0	7.0	3.0	2.0	2.0	2.0	2.0				1.0	1.0			1.0	1.0	1.0		6.0	4.0		5.0		2.0	2.0	2.0				1.0		1.0		1.0	2.0		5.0	1.0	1.0			3.0	2.0	1.0				2.0		3.0	1.0	7.0	1.0		5.0		1.0	4.0	5.0	2.0		2.0	1.0	2.0	1.0	1.0	2.0	2.0	4.0				3.0	1.0	1.0	1.0	2.0	2.0			4.0	2.0	1.0	4.0	1.0	3.0	4.0	1.0	1.0	3.0		1.0		3.0				4.0	3.0		1.0		1.0	1.0		4.0								2.0	1.0	3.0	1.0		6.0	5.0	2.0	1.0		2.0		3.0			5.0	1.0	1.0	4.0					1.0		1.0					1.0	1.0		1.0	1.0	2.0	2.0	3.0	1.0	1.0	2.0		1.0	1.0						3.0	1.0			1.0	1.0	1.0	2.0									2.0	6.0			1.0					1.0			1.0		2.0	2.0	1.0	1.0	1.0	3.0	1.0		2.0					2.0				3.0	2.0	1.0	1.0	3.0							1.0			1.0			1.0				1.0				1.0	1.0		1.0				1.0	1.0				1.0		1.0										1.0	1.0	1.0	1.0																															
Acholeplasma_laidlawii_PG_8A.1124	4.0	3.0	4.0	12.0	1.0	3.0	2.0							1.0			5.0	3.0	3.0	2.0	3.0		1.0	3.0	2.0			4.0	1.0	2.0	3.0	1.0	1.0		1.0	2.0	2.0	2.0							2.0	3.0	1.0	4.0	3.0				1.0					1.0	2.0	3.0		4.0	4.0	1.0	2.0	1.0			2.0	1.0	1.0			2.0	2.0	2.0	3.0	1.0	2.0					1.0	2.0	2.0	6.0	1.0	2.0	1.0			6.0	2.0	1.0					1.0		1.0		1.0		1.0	1.0	1.0	3.0	2.0	3.0	3.0	2.0	1.0			3.0	2.0	1.0			1.0						1.0	1.0	1.0	1.0	3.0	6.0	5.0	4.0	3.0	3.0	1.0	2.0	2.0	6.0	6.0	1.0	1.0	2.0		2.0		1.0				2.0	2.0	3.0	1.0	2.0				3.0		6.0	5.0	3.0					2.0	3.0	5.0	3.0	2.0	6.0	1.0	3.0		1.0	1.0	1.0		2.0	2.0	8.0			3.0		1.0	1.0				4.0		3.0	5.0		1.0	3.0	1.0	1.0	1.0		1.0		1.0			1.0					2.0	1.0			1.0	5.0	3.0	3.0	2.0		4.0		1.0			1.0	1.0		2.0				3.0	1.0	1.0	5.0	1.0			2.0							1.0	2.0	1.0	1.0	4.0	3.0				3.0	2.0	1.0	2.0		2.0	1.0		1.0		1.0	2.0	1.0	1.0								1.0	1.0	1.0		2.0	1.0	1.0	1.0		1.0	2.0	2.0	2.0	1.0		1.0			3.0	1.0	1.0	4.0	1.0	3.0	3.0			3.0			1.0	2.0				1.0	5.0																				3.0	1.0		1.0	2.0	2.0		3.0			7.0	1.0		1.0	1.0	1.0										2.0	1.0		1.0	2.0	3.0					1.0		1.0			1.0			1.0	1.0	1.0		1.0								1.0				1.0	2.0	4.0	3.0								1.0	2.0	1.0	1.0						1.0		1.0	1.0					1.0	1.0	1.0		1.0	2.0	1.0	1.0			1.0		1.0			2.0	1.0			1.0				2.0				1.0	1.0	1.0	1.0			1.0														1.0				1.0					1.0	1.0																														
Acholeplasma_laidlawii_PG_8A.1183	3.0	6.0	5.0	9.0	11.0	9.0	8.0	5.0	1.0	1.0	1.0	1.0			2.0	1.0	4.0	13.0	4.0	4.0	4.0	1.0		3.0	2.0	1.0	4.0	1.0	10.0	4.0	2.0	3.0	1.0	1.0	2.0	4.0	5.0	1.0	2.0	1.0	2.0	2.0	1.0	3.0	6.0	13.0	10.0	6.0	3.0	3.0				1.0	1.0	1.0	3.0		2.0		1.0	3.0	1.0	1.0	1.0	1.0	6.0	5.0	6.0					2.0	4.0		6.0	3.0						2.0	6.0	9.0	7.0	2.0	1.0		1.0	1.0		1.0	1.0							2.0		1.0	1.0				1.0	3.0	2.0	4.0	7.0	1.0		2.0	1.0		1.0	1.0	1.0	1.0	2.0		1.0				2.0	2.0		2.0	4.0	2.0	2.0	6.0	13.0	2.0	2.0			3.0	3.0	2.0	2.0		3.0		1.0	1.0			3.0	6.0	6.0	2.0	6.0	4.0	2.0	1.0		2.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0	3.0	5.0	8.0	12.0	6.0	4.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0			3.0	2.0		1.0	1.0	7.0	5.0	1.0			1.0	1.0		3.0	2.0		1.0		2.0		1.0	1.0	1.0		1.0	2.0		1.0	2.0	4.0	1.0	8.0	2.0	4.0						3.0		2.0	5.0	2.0				1.0	3.0	3.0		1.0		2.0							2.0	1.0	6.0		5.0	1.0			4.0			1.0	3.0		1.0	2.0		4.0				1.0	4.0	1.0		1.0	1.0	1.0			2.0	2.0		1.0		1.0	2.0					1.0	2.0	1.0	3.0	1.0		1.0	1.0		3.0	5.0		5.0	6.0				1.0			1.0		1.0	1.0	3.0	1.0		1.0		1.0			3.0		1.0											9.0	7.0		1.0	2.0	3.0		5.0	1.0	1.0	1.0	1.0	1.0	4.0							2.0					1.0				4.0	1.0						1.0				1.0					1.0	2.0					1.0		2.0		1.0					2.0		1.0	1.0					1.0	1.0	1.0	2.0	2.0			1.0		1.0		3.0				1.0				1.0			1.0		2.0		1.0	2.0				1.0		1.0	1.0	1.0				1.0			2.0							1.0											1.0		1.0				2.0											1.0	1.0																												
Acholeplasma_laidlawii_PG_8A.1187	2.0	4.0	4.0	11.0	11.0	4.0	2.0	5.0	2.0	2.0	2.0	3.0	1.0	3.0	3.0	1.0	5.0	12.0	5.0	4.0	3.0	2.0	3.0	2.0	1.0	3.0	5.0	1.0	7.0	4.0	6.0	1.0	2.0	2.0	4.0	1.0	2.0	1.0	2.0	3.0	9.0	7.0	2.0	2.0	6.0	16.0	13.0	7.0	6.0	3.0	2.0		2.0	1.0	1.0		2.0	1.0	2.0	4.0	1.0	2.0	3.0	2.0	1.0	4.0	4.0	3.0	4.0	1.0				2.0	5.0	3.0	3.0	3.0	2.0	1.0	2.0	1.0	3.0	3.0	9.0	3.0	2.0	5.0	2.0	1.0			1.0	1.0				1.0	1.0	2.0							1.0	2.0	2.0	1.0	1.0	4.0	5.0			1.0			1.0	3.0	1.0	1.0			1.0				1.0	1.0	4.0	6.0	4.0	6.0	8.0	6.0	8.0	6.0	3.0	2.0	1.0	6.0	4.0	2.0	1.0	1.0	6.0	3.0	1.0	2.0	1.0			3.0	5.0	6.0	4.0	5.0	2.0	1.0	1.0	1.0	1.0	2.0	4.0	4.0				2.0	6.0	2.0	9.0	11.0	8.0	6.0	6.0	5.0	3.0	4.0	1.0	2.0	2.0	3.0	3.0	1.0	2.0	4.0		1.0	1.0	2.0	1.0	4.0	4.0	1.0		4.0	1.0	2.0	1.0	4.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	3.0	6.0	3.0	2.0	4.0		2.0	1.0	1.0		3.0	4.0	4.0	7.0	3.0	1.0			2.0	2.0	1.0	8.0	1.0	1.0	5.0	2.0	1.0		5.0	4.0	3.0	6.0	2.0	6.0	2.0	5.0	2.0	1.0			1.0	2.0		2.0	4.0	1.0		3.0	1.0		1.0	6.0	2.0	1.0	1.0		2.0	3.0	2.0	2.0	1.0	6.0	2.0	1.0	7.0	2.0	2.0	7.0	7.0	2.0	1.0	1.0		1.0			1.0		6.0			1.0	1.0			1.0	1.0	2.0		1.0	4.0	1.0	6.0	7.0	3.0	5.0		2.0	3.0	4.0	1.0	1.0		2.0		1.0		4.0	5.0				1.0		1.0	3.0						1.0	1.0			4.0		1.0	4.0	2.0	1.0	1.0	2.0	2.0	1.0				2.0		1.0		1.0	1.0					2.0	3.0			1.0		2.0		1.0	2.0	3.0	2.0	1.0	2.0		1.0	2.0	2.0		1.0	2.0				1.0	2.0	2.0	1.0			2.0	2.0	1.0		1.0					2.0	1.0	2.0	2.0								1.0	2.0	2.0		4.0	1.0	1.0		1.0					1.0				2.0			2.0		2.0	2.0	1.0	1.0		2.0	3.0	1.0			2.0	1.0			2.0		1.0		1.0	1.0	1.0		1.0	2.0		1.0			1.0		1.0	2.0				1.0	1.0			1.0		1.0	1.0				1.0	1.0		1.0	1.0	1.0		1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																				
