	401	100	281	239	337	340	597	149	37	777	166	560	608	384	513	5	21	84	327	287	124	497	485	377	125	501	981	253	319	79	441	196	817	204	408	396	152	38	9	2	0	256	576	656	705	745	19	316	243	357	601	150	549	393	141	565	214	829	359	371	637	215	392	407	605	373	468	189	329	292	146	585	295	157	629	469	345	356	400	577	235	26	107	429	693	725	853	255	581	277	85	344	352	385	516	18	75	301	182	729	205	409	460	413	220	472	653	163	520	34	137	456	114	28	489	933	240	364	433	484	861	471	223	311	845	437	4	128	544	349	87	325	849	757	445	333	219	217	869	115	540	391	353	573	247	245	61	361	195	99	569	229	753	444	54	13	425	676	176	159	92	279	837	209	308	117	797	455	625	94	504	133	545	98	24	833	464	628	309	589	403	404	592	323	271	244	365	53	781	421	335	741	785	68	272	66	267	45	564	397	561	91	248	901	481	541	119	375	69	177	556	139	136	724	949	237	283	111	181	557	289	135	116	439	881	261	191	303	82	761	197	412	624	448	769	7	30	123	765	213	77	241	580	275	749	109	70	452	369	348	343	341	917	185	73	300	532	645	417	525	216	200	153	613	593	324	273	351	199	381	95	293	252	633	63	360	387	198	793	101	405	187	821	179	291	536	227	865	211	27	232	129	649	548	145	93	380	496	207	307	332	885	221	55	665	612	71	285	120	263	500	376	480	673	424	14	57	231	156	457	201	609	389	193	171	148	86	118	81	737	184	317	509	477	708	78	62	801	151	372	249	453	339	33	553	167	517	288	336	56	134	143	572	225	121	449	89	22	321	80	20	236	259	689	493	284	692	436	103	25	233	432	3	681	661	105	46	296	160	416	60	813	183	269	428	144	188	657	420	251	67	697	461	64	529	388	102	717	473	701	268	51	596	72	721	508	264	140	328	49	617	304	621	212	660	897	355	805	641	789	127	488	208	260	228	528	203	155	305	6	257	320	165	297	44	465	733	312	913	709	36	521	130	131	88	224	161	280	96	192	1	276	773	47	965	83	65	59	169	8	35	423	313	492	31	440	368	604	533	172	29	132	644	476	685	50	175	588	16	52	113	669	48	505	15	173	147	17	23	524	97	112	512	43	40	41	677	104	108	39	537	640	12	265	168	10	713	76	164	180	32	11
Aeropyrum_pernix_K1.1000	5.0	1.0	1.0	1.0	3.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	6.0	5.0	8.0	3.0	4.0	3.0	5.0	3.0	3.0	3.0	4.0	1.0	5.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	3.0	4.0	6.0	8.0	6.0	1.0	1.0	2.0	5.0	3.0	5.0	9.0	4.0	1.0	2.0	2.0	4.0	1.0	2.0	7.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	5.0	7.0	2.0	1.0	2.0	1.0	1.0	2.0	3.0	2.0	3.0	3.0	2.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	3.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	7.0	5.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	4.0	4.0	4.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	4.0	3.0	3.0	2.0	2.0	1.0	1.0	1.0	4.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	2.0	2.0	3.0	2.0	4.0	3.0	2.0	1.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	3.0	1.0	1.0	4.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	3.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	3.0	3.0	1.0	1.0	2.0	1.0	3.0	4.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	4.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																																																																																																																																									
Aeropyrum_pernix_K1.1013	2.0		2.0	3.0		4.0	4.0	1.0			1.0	2.0			1.0	3.0	3.0		3.0	2.0	3.0	1.0	3.0	2.0		2.0	5.0	1.0	2.0	2.0	3.0	1.0			2.0	2.0	1.0						1.0		1.0	3.0	1.0	6.0	10.0	15.0	8.0	5.0	4.0	4.0	2.0	1.0	10.0	11.0	10.0	5.0	6.0	3.0	2.0	3.0	2.0	4.0	3.0	2.0	1.0	1.0	2.0	1.0	1.0		6.0	3.0	8.0	7.0	3.0	3.0	2.0	3.0	4.0	2.0	2.0	2.0	5.0	5.0	3.0	3.0	4.0	2.0	1.0			4.0	5.0	2.0	2.0	5.0	3.0	4.0	2.0	7.0				1.0	1.0	3.0	2.0	2.0	2.0	1.0	1.0	3.0	3.0	8.0	3.0	3.0	6.0	7.0	2.0	5.0	4.0	2.0		1.0	2.0	1.0		6.0	3.0	4.0	7.0	7.0	6.0	5.0	6.0	3.0				2.0	4.0	7.0	3.0	4.0	4.0	2.0			2.0	3.0	5.0	4.0	1.0	3.0	1.0	1.0			3.0	4.0	4.0	2.0	2.0	2.0	3.0		1.0	2.0	2.0	2.0	2.0	3.0		2.0	5.0	4.0	4.0	8.0	1.0	4.0	3.0	2.0	6.0	8.0	4.0	4.0	3.0	4.0		1.0	3.0	1.0		1.0	2.0	1.0	1.0	4.0	2.0	4.0	3.0	4.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	3.0	4.0	3.0	4.0	5.0	4.0		2.0	1.0	1.0	4.0	1.0	3.0	3.0	3.0		3.0	1.0	4.0	4.0	1.0	1.0		2.0	2.0	3.0	3.0	5.0		2.0	5.0	5.0	2.0	1.0	2.0	3.0	3.0	4.0	8.0	5.0	4.0	3.0	4.0	3.0		1.0	2.0			3.0	5.0	9.0	5.0	2.0	3.0	1.0	5.0	1.0	5.0	5.0	2.0	2.0	2.0	1.0		1.0	2.0	7.0	3.0	5.0	4.0	2.0	2.0			4.0	1.0	2.0	3.0	1.0	2.0	1.0		1.0	1.0	3.0		3.0	5.0	4.0	1.0	4.0	4.0			1.0	1.0	5.0	1.0	2.0					1.0	1.0	1.0	4.0	2.0		3.0	1.0	3.0	3.0	2.0	5.0	3.0	3.0	7.0	4.0	4.0	3.0	2.0	3.0	1.0	1.0	2.0	2.0	2.0	7.0	1.0	2.0	1.0	2.0	4.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	1.0	8.0	4.0	1.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	3.0	5.0	1.0	2.0	2.0	3.0	2.0	4.0	2.0	1.0	1.0	3.0	1.0	4.0	2.0	1.0	2.0	2.0	4.0	9.0	4.0	3.0	6.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	5.0	4.0	4.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	1.0	5.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0																																																
Aeropyrum_pernix_K1.1014	1.0		1.0			4.0	1.0								2.0	1.0	5.0		1.0	2.0			1.0	3.0	2.0	1.0		2.0	3.0	3.0			1.0	1.0	3.0	2.0						1.0		1.0				1.0	4.0	4.0	4.0	1.0			1.0	6.0	4.0	3.0	4.0	3.0	3.0	3.0		2.0		1.0	3.0	4.0	1.0	1.0		1.0			3.0	3.0	4.0	2.0	1.0	1.0	1.0		1.0	1.0	2.0	1.0	3.0	4.0	1.0	5.0	8.0	1.0	2.0		1.0	1.0	1.0		3.0	2.0	1.0	1.0	2.0	3.0	1.0	2.0									1.0		1.0	2.0	1.0		6.0	5.0	2.0	4.0	3.0	2.0		1.0	1.0	4.0	5.0	1.0	2.0	5.0	3.0	3.0	1.0	6.0	3.0	1.0			3.0	1.0	4.0	2.0	3.0	2.0						2.0	2.0	1.0	1.0	2.0	2.0			1.0	3.0	3.0	3.0	3.0	1.0	3.0	2.0		2.0	2.0	3.0			1.0			4.0	2.0	2.0	1.0		2.0	1.0	3.0	1.0	4.0	3.0	2.0	4.0		1.0		1.0		1.0		3.0	7.0	1.0		2.0	2.0			1.0	4.0	3.0	1.0	2.0				1.0				1.0	2.0	1.0			4.0	2.0	1.0	2.0	4.0	2.0	2.0	2.0	4.0	1.0		1.0	3.0	1.0		1.0	7.0	4.0	3.0	2.0	3.0		2.0	1.0	1.0	2.0	2.0	4.0	8.0		1.0	2.0	1.0		1.0			1.0		1.0	1.0	1.0	3.0	1.0	3.0	1.0		2.0	4.0	1.0			2.0	1.0			2.0	3.0		3.0	1.0	2.0		1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0		4.0	2.0	2.0	8.0	4.0		1.0		2.0	2.0			2.0			1.0					1.0	1.0	1.0	2.0	1.0	1.0		3.0	1.0		2.0		1.0	6.0	5.0	6.0	1.0		1.0			4.0	3.0	2.0	4.0				6.0	4.0		1.0	1.0	1.0	3.0		1.0		3.0	1.0			2.0				2.0	1.0				1.0		1.0			1.0						1.0	3.0	1.0	2.0		1.0	1.0	1.0	3.0	2.0	1.0		5.0		4.0	7.0		3.0	1.0	2.0			1.0			1.0			3.0	1.0	2.0		1.0	3.0		1.0	3.0		4.0	2.0	6.0	1.0	1.0				2.0	1.0								1.0	2.0	1.0		1.0				1.0	4.0						1.0			1.0	2.0							2.0			3.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																				
Aeropyrum_pernix_K1.1017	2.0				1.0	2.0	2.0	4.0	1.0			2.0	1.0			2.0	2.0	2.0		1.0			1.0	1.0	1.0	4.0	3.0	4.0	4.0	1.0	1.0	1.0	1.0										1.0		3.0	2.0	1.0	7.0	7.0	4.0	8.0	5.0	2.0	5.0	5.0		3.0	3.0	4.0	2.0	4.0	2.0	3.0	1.0		1.0	2.0	2.0	2.0			2.0			3.0	3.0	4.0	7.0								1.0	3.0	3.0	1.0	1.0	1.0	2.0		1.0	1.0	1.0	2.0	1.0	3.0	3.0	3.0	4.0	2.0	1.0	1.0					1.0	1.0	1.0				1.0	1.0	3.0	1.0			1.0	2.0	6.0	2.0	7.0			2.0			1.0		4.0	6.0	5.0	5.0	1.0	2.0	3.0	1.0	1.0	2.0	3.0	2.0	3.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0			2.0	1.0		1.0		2.0	2.0	2.0	3.0	3.0	2.0			1.0	2.0	2.0		2.0	1.0			3.0	3.0	2.0	1.0			1.0	7.0	2.0	3.0	2.0	3.0	1.0	2.0				1.0		5.0	1.0	2.0	1.0	2.0						1.0		4.0	1.0	1.0	3.0		1.0			1.0	1.0	1.0		2.0	1.0	1.0	1.0	2.0	3.0	1.0		1.0	1.0			2.0	2.0				1.0	3.0	3.0				1.0	1.0	2.0	2.0	1.0	1.0	2.0		1.0						1.0	1.0	1.0		4.0				1.0	2.0	5.0		5.0	1.0	2.0				3.0	3.0	2.0	2.0		4.0	4.0	4.0				4.0	1.0		2.0		2.0		3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0		1.0	1.0			3.0			1.0	1.0		1.0	1.0	1.0	1.0			1.0	1.0			2.0	3.0			1.0	2.0	1.0										2.0					1.0				2.0					2.0	1.0			1.0		2.0	1.0	1.0	1.0					1.0	3.0				1.0					1.0	2.0				1.0	2.0		2.0				1.0	2.0			1.0	2.0		1.0			1.0	1.0		2.0	1.0	3.0	1.0	2.0	5.0	2.0	2.0		1.0		1.0	1.0		2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0		2.0	1.0								1.0		1.0		1.0			1.0	2.0		2.0		1.0	2.0	1.0	1.0	1.0						2.0		1.0	1.0	2.0					3.0	2.0	2.0			1.0	1.0	3.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0																							
Aeropyrum_pernix_K1.102	2.0		2.0	1.0	2.0	2.0		1.0			2.0	1.0					2.0	2.0	1.0		2.0	2.0	1.0	2.0		5.0	4.0	2.0	3.0	1.0		1.0		1.0	1.0	1.0	1.0				2.0	1.0	1.0	1.0			1.0	1.0	3.0	5.0	4.0		2.0	1.0	2.0	2.0	6.0	8.0	5.0	3.0	4.0		3.0	2.0		2.0	1.0		2.0	1.0	2.0	1.0	1.0		1.0	2.0	3.0	5.0	2.0		1.0	1.0		1.0	2.0	2.0	3.0	1.0	3.0	2.0	1.0	3.0	2.0	2.0		1.0	1.0	1.0	1.0	3.0	7.0	4.0	2.0	3.0	1.0		1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0		1.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	5.0	2.0	3.0	5.0	2.0	2.0	2.0	2.0		2.0	2.0	6.0	6.0	4.0	5.0	2.0	1.0		1.0	2.0	5.0	2.0	1.0	1.0	1.0	1.0		4.0	1.0	2.0	1.0	1.0		1.0	1.0		1.0	2.0	4.0	2.0	1.0	1.0	1.0	1.0	3.0	3.0	5.0	2.0	1.0		3.0	4.0	1.0	2.0	3.0	2.0	1.0	3.0	2.0	1.0					1.0	1.0	2.0					3.0	2.0	1.0	2.0		2.0	1.0			2.0	3.0	1.0	3.0	1.0	1.0	2.0	3.0		1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0		4.0	1.0	1.0		1.0	2.0	1.0	1.0	1.0		2.0	1.0	3.0	1.0	1.0		2.0	1.0			2.0	1.0	1.0		1.0	2.0	4.0	3.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0		1.0	1.0		5.0	2.0	2.0		1.0	1.0	2.0	2.0	4.0		2.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0			5.0	2.0		4.0			2.0	2.0	3.0	2.0		1.0	4.0	4.0		1.0	1.0	1.0			1.0	1.0	1.0			2.0		1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0			2.0	2.0			2.0				2.0			2.0	2.0	2.0		1.0		1.0		3.0	1.0	1.0			1.0	2.0	1.0			1.0	1.0	1.0					5.0	1.0		1.0			2.0	3.0							1.0	1.0		2.0			2.0	3.0	2.0		1.0	1.0			1.0	1.0	1.0	1.0			4.0	1.0	1.0	1.0	2.0		2.0			4.0	3.0	3.0	2.0			4.0				1.0	1.0	1.0		1.0	1.0	3.0	2.0	1.0	1.0		1.0	1.0					5.0	1.0				1.0	4.0	1.0	1.0	1.0	3.0	1.0		4.0		2.0				2.0		2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	3.0				1.0	3.0	1.0	2.0		2.0		1.0	1.0	1.0			1.0	1.0	1.0	1.0		2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0														
Aeropyrum_pernix_K1.1040	1.0	1.0	4.0	2.0	9.0	6.0	3.0	2.0	2.0	1.0	3.0	1.0	4.0	2.0	5.0	6.0	7.0	3.0	6.0	4.0		2.0	2.0		4.0	3.0	8.0	7.0	5.0	3.0	1.0		2.0	4.0	7.0	3.0	3.0	2.0	2.0	2.0		2.0	1.0	3.0	2.0	2.0	2.0	4.0	9.0	15.0	8.0	3.0	2.0	5.0	5.0	6.0	14.0	13.0	8.0	7.0	4.0	4.0	9.0	6.0		9.0	3.0	2.0	3.0	2.0	1.0	1.0	1.0	4.0	6.0	10.0	11.0	8.0	5.0	10.0	2.0	1.0	2.0	6.0	5.0	3.0	8.0	10.0	2.0	5.0	7.0	7.0	3.0	1.0		2.0	1.0	1.0	3.0	3.0	4.0	11.0	7.0	5.0	1.0	3.0					5.0	4.0	1.0	2.0			3.0	5.0		2.0	6.0	7.0	2.0	1.0	6.0	3.0		1.0	2.0	5.0		6.0	4.0	3.0	9.0	5.0	6.0	2.0	4.0	3.0	1.0	1.0	7.0	7.0	4.0	12.0	2.0	5.0	3.0	2.0	2.0	3.0	3.0	3.0	6.0	5.0	1.0	1.0	2.0			4.0	3.0	2.0	5.0	6.0	1.0	1.0	1.0	1.0		4.0	2.0	4.0	2.0	4.0	3.0	3.0	7.0	5.0	10.0	9.0	5.0		5.0	2.0	6.0	11.0	6.0	4.0	10.0		1.0		3.0					1.0	5.0	5.0	5.0	4.0	3.0	2.0			6.0	2.0	5.0	4.0	5.0	5.0	5.0	3.0	3.0	6.0	2.0	2.0	5.0	2.0	1.0	4.0		9.0	2.0	1.0	2.0	1.0	2.0	4.0	2.0	3.0	4.0	4.0	5.0	5.0	9.0	9.0	3.0	3.0		2.0	4.0	2.0	4.0	1.0		1.0	2.0	8.0	2.0		2.0	1.0	6.0	1.0	1.0	5.0		3.0	8.0	9.0	4.0	6.0	4.0	3.0	4.0	5.0	2.0	1.0	8.0	4.0	8.0	7.0	4.0	2.0	3.0	7.0	11.0	1.0	8.0	3.0	2.0		4.0	3.0	4.0	2.0		1.0	3.0	6.0	2.0	3.0	4.0		16.0	4.0	4.0	3.0			5.0	6.0	3.0	4.0	2.0	6.0	5.0	2.0	1.0	3.0	1.0			1.0	3.0	1.0	4.0	6.0	5.0	1.0	1.0	1.0	6.0	3.0	3.0	5.0	4.0	10.0	6.0		3.0	1.0	3.0	2.0		3.0	6.0	1.0	5.0	2.0	1.0		5.0	4.0	6.0	1.0	3.0	5.0	2.0	2.0	4.0	1.0	15.0	9.0	5.0		4.0	1.0	4.0	4.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0		1.0	2.0			1.0	1.0	5.0	4.0	3.0	1.0	5.0	2.0	2.0	2.0	2.0	6.0	6.0	5.0	2.0	3.0	2.0	4.0	7.0	3.0	4.0	2.0	1.0	1.0	5.0	4.0	4.0	5.0	2.0	1.0	3.0	4.0		4.0	2.0	1.0	5.0	1.0		4.0	1.0	3.0	1.0	1.0		3.0	9.0	1.0	6.0	5.0	1.0	1.0	3.0	3.0	6.0			1.0		1.0	4.0	1.0	1.0		2.0	4.0	3.0	3.0			3.0		1.0	1.0	2.0	1.0		5.0	8.0	7.0		1.0	2.0	2.0	2.0	2.0	3.0		2.0	2.0	4.0	3.0	1.0	3.0	2.0	2.0		1.0	2.0		3.0	3.0	4.0	3.0	1.0		1.0		1.0	3.0	4.0	1.0	1.0	1.0	1.0			2.0	1.0	2.0		2.0	2.0	4.0	1.0	1.0	1.0	1.0	1.0						
Aeropyrum_pernix_K1.1056	4.0		3.0	4.0	7.0	5.0	6.0		2.0	1.0			1.0			1.0	3.0	2.0	9.0	4.0	3.0	1.0	1.0	3.0	1.0	8.0	9.0	10.0	4.0	4.0	2.0	5.0	1.0	1.0	3.0		2.0	2.0						4.0	2.0	1.0	1.0	10.0	17.0	24.0	12.0	5.0	2.0	5.0	3.0	5.0	16.0	13.0	8.0	6.0	7.0		3.0	3.0		4.0	2.0	5.0	1.0	4.0	3.0	2.0			3.0	3.0	14.0	3.0	3.0	5.0			1.0	1.0	1.0	5.0	4.0	10.0	2.0	6.0	7.0	5.0	2.0			3.0	3.0	4.0	1.0	8.0	9.0	13.0	12.0	6.0	3.0	1.0	3.0				3.0	5.0	2.0	1.0	1.0		3.0	8.0	2.0	1.0	4.0	3.0	4.0	5.0	6.0	6.0	1.0	1.0		3.0	2.0	8.0	5.0	7.0	6.0	5.0	4.0	6.0	8.0	8.0	3.0	4.0	1.0	4.0	3.0	8.0	4.0	8.0	8.0		2.0	2.0	4.0	5.0	1.0			2.0	1.0	1.0		3.0	1.0	2.0	3.0	3.0	4.0	3.0	2.0	2.0	1.0	4.0		2.0		2.0		1.0	5.0	1.0	5.0	8.0		2.0	2.0	3.0	8.0	6.0	3.0	7.0	8.0	3.0			2.0	2.0			1.0	4.0	6.0	5.0	5.0	4.0	3.0	2.0			2.0	1.0	5.0	2.0	3.0	4.0	1.0	1.0		3.0	5.0	2.0	7.0	1.0		2.0		4.0	1.0	3.0	2.0	4.0	3.0	6.0	3.0					5.0	6.0	9.0	5.0	2.0	1.0	2.0	2.0			3.0	5.0	4.0	2.0	5.0	2.0	6.0	5.0	2.0			1.0	5.0	7.0	3.0	2.0	7.0	9.0	3.0		4.0	7.0		2.0	2.0	6.0	4.0	6.0	4.0	6.0	2.0	1.0	3.0	14.0	2.0	13.0	4.0	4.0	1.0	4.0	4.0	7.0				3.0	3.0	1.0	2.0	2.0		10.0	2.0	3.0	1.0		4.0	8.0	4.0	3.0	3.0	2.0		1.0	1.0			2.0		3.0	5.0	3.0		2.0	5.0	2.0	2.0			3.0	6.0	3.0	3.0	2.0	9.0	6.0	1.0		2.0	2.0	2.0	3.0	1.0	3.0	1.0	7.0				1.0	3.0	1.0	4.0		3.0	1.0	4.0	1.0		6.0	3.0							4.0	8.0		3.0	2.0	1.0	1.0	1.0		2.0	2.0	6.0				1.0	4.0			3.0	3.0	3.0		2.0	3.0	2.0	2.0	3.0	4.0		3.0	3.0	1.0	9.0	3.0	1.0	2.0	3.0	3.0	5.0	3.0	3.0	1.0	5.0	4.0	5.0	8.0	1.0	4.0	4.0	2.0	1.0	4.0	2.0		1.0	2.0		2.0	4.0			2.0	2.0	5.0							2.0	2.0	2.0		2.0		2.0	1.0	4.0			1.0	1.0			2.0	2.0	1.0		3.0	1.0	1.0	1.0			1.0	7.0	3.0	4.0		8.0	1.0	2.0	4.0	1.0		4.0	3.0	1.0		3.0		1.0			5.0	2.0	1.0	1.0	2.0		2.0	2.0	1.0	2.0	2.0	1.0						1.0		1.0	1.0	1.0		2.0			2.0	2.0	1.0			
Aeropyrum_pernix_K1.1061	1.0			1.0	1.0	2.0	3.0	3.0	1.0	1.0	2.0	1.0		1.0			2.0		1.0	1.0			4.0	1.0	1.0	3.0	3.0	7.0	5.0	5.0		1.0	3.0			1.0	1.0			1.0		1.0	2.0	3.0	1.0			5.0	9.0	11.0	7.0			4.0	3.0	6.0	5.0	7.0	8.0	1.0	1.0	3.0	1.0			2.0	2.0	1.0				1.0		1.0	2.0	3.0	16.0	8.0	4.0	2.0			2.0	1.0	1.0	1.0	4.0	7.0	2.0	3.0	3.0	3.0	2.0		1.0		1.0	2.0	1.0		1.0	5.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0			1.0	3.0	2.0	4.0	3.0	2.0	3.0	1.0	3.0	4.0	3.0	3.0				1.0	1.0	4.0	2.0	2.0	4.0	7.0	5.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0		6.0	2.0	1.0		1.0	1.0	1.0	1.0	6.0	4.0		1.0	3.0			1.0	2.0	1.0	1.0	4.0	2.0	3.0	4.0	6.0		1.0	2.0	4.0			1.0	1.0	1.0	5.0	5.0	7.0	10.0	3.0	3.0	2.0	1.0	2.0	3.0	1.0	2.0	3.0		2.0	1.0		1.0				4.0	3.0	2.0	2.0	1.0	2.0	1.0			5.0	1.0		1.0	1.0	1.0	1.0	2.0	2.0	3.0		1.0	1.0	1.0			3.0	2.0	2.0	4.0	1.0		1.0	6.0	1.0		1.0		3.0	4.0	2.0	6.0	3.0	4.0	2.0	6.0			1.0	3.0	1.0		1.0	6.0	2.0	1.0	2.0	1.0		1.0	2.0	2.0	4.0	6.0	1.0	6.0	6.0	5.0		2.0	4.0	4.0	2.0	3.0	7.0	2.0	1.0	3.0	3.0	1.0	3.0	6.0	7.0	2.0	3.0	1.0	1.0			2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0			7.0	2.0					3.0	4.0	1.0		3.0	2.0	2.0		1.0		1.0		1.0	3.0	1.0			2.0	1.0	2.0		1.0	4.0	2.0	2.0	2.0	2.0	2.0			2.0	1.0	3.0	3.0		1.0	4.0	1.0	1.0	1.0	1.0		1.0		1.0	2.0	3.0	2.0	1.0	3.0	8.0	1.0	4.0	3.0	1.0				1.0	1.0	3.0	2.0		3.0	1.0	4.0	2.0	2.0			1.0	1.0				3.0	2.0			4.0	4.0			2.0	2.0	2.0	3.0	3.0	2.0		4.0	4.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	2.0	3.0	2.0	1.0	2.0		1.0	1.0		2.0	3.0	3.0	1.0	2.0		1.0	1.0	1.0		1.0	2.0	2.0	2.0				2.0	1.0	1.0				1.0		2.0	2.0	1.0					2.0		1.0	2.0	1.0			5.0	4.0		2.0	2.0	2.0		2.0	3.0	2.0		2.0	2.0		3.0			2.0			3.0	2.0	2.0		4.0			1.0		1.0				2.0			2.0	2.0	3.0	1.0				1.0	1.0	1.0		3.0		2.0		1.0						1.0	2.0		
Aeropyrum_pernix_K1.1069			1.0				1.0								1.0	2.0	1.0	1.0		1.0		1.0	2.0	1.0	1.0			1.0	2.0	1.0				1.0	1.0						1.0	1.0	1.0	1.0			2.0	1.0	2.0	3.0	2.0	1.0	1.0		1.0	1.0	6.0	2.0	2.0	2.0		3.0	1.0	2.0	2.0	1.0	2.0					1.0	1.0					1.0	1.0	2.0		1.0		1.0	2.0	2.0															2.0	2.0			1.0	1.0	1.0			1.0							1.0			1.0	3.0		2.0	2.0	2.0	2.0		3.0	1.0	1.0		2.0			3.0	3.0	1.0	2.0	4.0	1.0					1.0	2.0	2.0	3.0	3.0	1.0	3.0	1.0	1.0	2.0	1.0	2.0	1.0		3.0		3.0	4.0	1.0		2.0	1.0	2.0	2.0	1.0				1.0			1.0			2.0			3.0		1.0	3.0	1.0	5.0	3.0	2.0	4.0	3.0		1.0		1.0				1.0		3.0		1.0					1.0	2.0		2.0		1.0	2.0	2.0			2.0						2.0	2.0	1.0					1.0	1.0	1.0	1.0			1.0		2.0	1.0	2.0	1.0	2.0	1.0	1.0		1.0	1.0	1.0		1.0			1.0						1.0		1.0		2.0	2.0		1.0				1.0		1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0		5.0		3.0	1.0	2.0	1.0	3.0	1.0			2.0				1.0	1.0	2.0			1.0	1.0	1.0	1.0		1.0			1.0	1.0			1.0	1.0			1.0	1.0			1.0	1.0				1.0	1.0		1.0		6.0			1.0	1.0	2.0			2.0	1.0	1.0	3.0		1.0		1.0	1.0		1.0	1.0			1.0	1.0		4.0	3.0						1.0		1.0							1.0			2.0				2.0	2.0			1.0			2.0	2.0	4.0	1.0	2.0		2.0		1.0	2.0	2.0		1.0	2.0		4.0		1.0		1.0		3.0	1.0	1.0	5.0			1.0	2.0	1.0				1.0	1.0		1.0	3.0		3.0				2.0	2.0	1.0						1.0	1.0					1.0							1.0						2.0					1.0	1.0	1.0		1.0	1.0	1.0					2.0	1.0	1.0	1.0				1.0	1.0		2.0					1.0		2.0	3.0		1.0			1.0					1.0		1.0		1.0	1.0			2.0			
